Review_ID,Rating,Theme,Sentiment,Pain,Point
  1,1,Order Cancellation,Negative,"Order cancelled by supplier without explanation after days of waiting"
2,5,Positive - App Experience,Positive,"No direct path back to homepage after scrolling; must use back button"
3,1,Return Pickup & Refund Delay,Negative,"Return rescheduled 3 times over 1+ month; refund still not received"
4,1,Return Pickup & Refund Delay,Negative,"Damaged product; return not picked up for 1 month; request cancelled"
5,5,Positive - App Experience,Positive,"None stated"
6,1,Payment Processing Issue,Negative,"Cannot cancel order; payment debited three times; no support access"
7,1,Return Pickup & Refund Delay,Negative,"Damaged product; return pickup incomplete after 15+ days"
8,1,Delivery Delay / Non-Delivery,Negative,"Marked delivered but never received; no follow-up action"
9,1,Return Pickup & Refund Delay,Negative,"Return pickup date repeatedly pushed; refund blocked until pickup"
10,1,Delivery Delay / Non-Delivery,Negative,"Order delayed 10+ days; unable to cancel; automated emails only"
11,1,Pricing Discrepancy,Negative,"Price increases once item is added to cart"
12,1,Return Pickup & Refund Delay,Negative,"Return requested 1 month ago; pickup keeps getting pushed"
13,1,Payment Processing Issue,Negative,"Payment stuck Pending; no retry option; no accessible support"
14,1,Wrong / Incomplete Product,Negative,"Received a completely different product; no return support"
15,1,Delivery Delay / Non-Delivery,Negative,"Product never delivered; repeated follow-up required"
16,4,Positive - App Experience,Positive,"None stated"
17,1,Order Cancellation,Negative,"Cancelled last minute; support falsely claimed a call went unanswered"
18,1,Wrong / Incomplete Product,Negative,"Received incomplete product; return rejected 4 separate times"
19,5,Positive - App Experience,Positive,"None stated"
20,1,Pay Later / Pricing Complaint,Negative,"Price increases after registering for Pay Later; no repayment option"
